[2026-03-06T05:46:00.393527][INFO] 配置已更新: console_log=error retry_mode=polling
[2026-03-06T06:03:54.299838][DEBUG] ✓ UDP://tracker.therarbg.to:6969 (84.54.51.78) 199ms
[2026-03-06T06:03:54.307463][DEBUG] ✓ UDP://tracker.t-1.org:6969 (107.189.7.165) 216ms
[2026-03-06T06:03:54.311947][DEBUG] ✓ UDP://tracker.opentorrent.top:6969 (81.230.84.201) 212ms
[2026-03-06T06:03:54.316958][DEBUG] ✓ UDP://open.dstud.io:6969 (212.8.249.30) 219ms
[2026-03-06T06:03:54.318791][DEBUG] ✓ UDP://udp.tracker.projectk.org:23333 (23.175.184.30) 220ms
[2026-03-06T06:03:54.320232][DEBUG] ✓ UDP://uabits.today:6990 (163.5.63.253) 214ms
[2026-03-06T06:03:54.328647][DEBUG] ✓ UDP://tracker.playground.ru:6969 (212.42.38.197) 242ms
[2026-03-06T06:03:54.333881][DEBUG] ✓ UDP://torrentvpn.club:6990 (31.57.241.202) 228ms
[2026-03-06T06:03:54.338770][DEBUG] ✓ UDP://udp.tracker.projectk.org:23333 (2602:f93b:131:a:be24:11ff:fe79:fff7) 237ms
[2026-03-06T06:03:54.340641][DEBUG] ✓ UDP://tracker.breizh.pm:6969 (82.67.183.86) 240ms
[2026-03-06T06:03:54.341541][DEBUG] ✓ UDP://tracker.bittor.pw:1337 (34.66.57.33) 249ms
[2026-03-06T06:03:54.343245][DEBUG] ✓ UDP://tracker.bittor.pw:1337 (2600:1900:4001:4b5:8000::) 251ms
[2026-03-06T06:03:54.344475][DEBUG] ✓ TCP://ttk2.nbaonlineservice.com:80 (54.39.48.3) 263ms
[2026-03-06T06:03:54.350325][DEBUG] ✓ UDP://tracker.1h.is:1337 (2605:6400:30:f922:35d4:58f4:75eb:1337) 263ms
[2026-03-06T06:03:54.351399][DEBUG] ✓ UDP://tracker.riverarmy.xyz:6969 (18.232.197.8) 239ms
[2026-03-06T06:03:54.351714][DEBUG] ✓ UDP://d40969.acod.regrucolo.ru:6969 (176.99.7.59) 270ms
[2026-03-06T06:03:54.353001][DEBUG] ✓ UDP://tracker.torrent.eu.org:451 (2a03:7220:8083:cd00::1) 275ms
[2026-03-06T06:03:54.353290][DEBUG] ✓ UDP://tracker.opentrackr.org:1337 (93.158.213.92) 251ms
[2026-03-06T06:03:54.353584][DEBUG] ✓ TCP://sukebei.tracker.wf:8888 (195.16.73.66) 278ms
[2026-03-06T06:03:54.353897][DEBUG] ✓ UDP://51.81.222.188:6969 (51.81.222.188) 269ms
[2026-03-06T06:03:54.356502][DEBUG] ✓ UDP://tracker.bluefrog.pw:2710 (2a00:16b0:242:25::14) 269ms
[2026-03-06T06:03:54.358173][DEBUG] ✓ TCP://tracker.dhitechnical.com:6969 (140.235.237.23) 268ms
[2026-03-06T06:03:54.359159][DEBUG] ✓ UDP://evan.im:6969 (74.119.150.221) 260ms
[2026-03-06T06:03:54.363474][DEBUG] ✓ UDP://tracker.qu.ax:6969 (43.250.54.137) 266ms
[2026-03-06T06:03:54.364846][DEBUG] ✓ UDP://tracker.breizh.pm:6969 (2a01:e0a:ebd:2640:ba27:ebff:fe2c:db88) 264ms
[2026-03-06T06:03:54.366148][DEBUG] ✓ UDP://www.torrent.eu.org:451 (2001:912:800:208::53) 284ms
[2026-03-06T06:03:54.369622][DEBUG] ✓ UDP://tracker.t-1.org:6969 (2605:6400:30:f8f3:1f:b20a:a8c1:1337) 278ms
[2026-03-06T06:03:54.389217][DEBUG] ✓ UDP://tracker.waaa.moe:6969 (216.144.239.90) 302ms
[2026-03-06T06:03:54.392610][DEBUG] ✓ UDP://2a03:94e0:ffff:185:243:218:0:213:80 (2a03:94e0:ffff:185:243:218:0:213) 293ms
[2026-03-06T06:03:54.397620][DEBUG] ✓ UDP://tracker.fnix.net:6969 (2a04:52c0:129:4157::a80) 319ms
[2026-03-06T06:03:54.407881][DEBUG] ✓ UDP://tracker.plx.im:6969 (54.36.179.216) 285ms
[2026-03-06T06:03:54.409693][DEBUG] ✓ TCP://tracker.iochimari.moe:443 (104.21.53.179) 159ms
[2026-03-06T06:03:54.413585][DEBUG] ✓ TCP://tracker.moeblog.cn:443 (172.66.132.230) 159ms
[2026-03-06T06:03:54.421787][DEBUG] ✓ TCP://tracker.moeblog.cn:443 (104.21.56.230) 168ms
[2026-03-06T06:03:54.424121][DEBUG] ✓ TCP://tracker.iochimari.moe:443 (2606:4700:3035::6815:35b3) 171ms
[2026-03-06T06:03:54.424486][DEBUG] ✓ TCP://tracker.moeblog.cn:443 (172.67.187.230) 169ms
[2026-03-06T06:03:54.426058][DEBUG] ✓ TCP://tracker.iochimari.moe:443 (172.67.216.25) 177ms
[2026-03-06T06:03:54.428713][DEBUG] ✓ TCP://tracker.moeblog.cn:443 (172.66.140.230) 175ms
[2026-03-06T06:03:54.429799][DEBUG] ✓ TCP://tracker.moeblog.cn:443 (2606:4700:3036::6815:3985) 175ms
[2026-03-06T06:03:54.433530][DEBUG] ✓ UDP://tracker.qu.ax:6969 (2406:4fc0:1002::137) 335ms
[2026-03-06T06:03:54.434140][DEBUG] ✓ TCP://tracker.iochimari.moe:443 (2606:4700:3034::ac43:d819) 182ms
[2026-03-06T06:03:54.442081][DEBUG] ✓ TCP://tracker.moeblog.cn:443 (2606:4700:3035::ac43:a410) 187ms
[2026-03-06T06:03:54.445792][DEBUG] ✓ UDP://open.demonii.com:1337 (185.121.168.96) 199ms
[2026-03-06T06:03:54.493122][DEBUG] ✓ TCP://2c0f:f4c0::108:80 (2c0f:f4c0::108) 411ms
[2026-03-06T06:03:54.495965][DEBUG] ✓ UDP://tracker.srv00.com:6969 (147.45.77.75) 246ms
[2026-03-06T06:03:54.568763][DEBUG] ✓ UDP://44.30.4.70:6969 (44.30.4.70) 314ms
[2026-03-06T06:03:54.737227][DEBUG] ✓ UDP://t.overflow.biz:6969 (187.56.163.25) 491ms
[2026-03-06T06:04:04.291859][DEBUG] ✓ UDP://tracker.gmi.gd:6969 (209.141.59.25) 191ms
[2026-03-06T06:04:04.308029][DEBUG] ✓ UDP://bittorrent-tracker.e-n-c-r-y-p-t.net:1337 (107.189.2.131) 193ms
[2026-03-06T06:04:04.401208][DEBUG] ✓ UDP://tracker.ixuexi.click:6969 (173.201.36.219) 238ms
[2026-03-06T06:04:04.519835][DEBUG] ✓ UDP://tracker.srv00.com:6969 (91.186.213.204) 264ms
[2026-03-06T06:04:04.570444][DEBUG] ✓ UDP://open.demonii.com:1337 (2a06:1280:f115::2) 314ms
[2026-03-06T06:04:14.320588][DEBUG] ✓ UDP://176.123.1.180:6969 (176.123.1.180) 219ms
[2026-03-06T06:04:14.374153][DEBUG] ✓ UDP://retracker.lanta.me:2710 (37.235.176.37) 272ms
[2026-03-06T06:04:14.381403][DEBUG] ✓ UDP://bittorrent-tracker.e-n-c-r-y-p-t.net:1337 (2605:6400:30:fad6::dead:c0d3) 266ms
[2026-03-06T06:04:14.420242][DEBUG] ✓ UDP://ns575949.ip-51-222-82.net:6969 (51.222.82.36) 304ms
[2026-03-06T06:04:14.432806][DEBUG] ✓ UDP://bandito.byterunner.io:6969 (103.251.166.126) 176ms
[2026-03-06T06:04:14.580668][DEBUG] ✓ UDP://tracker.ixuexi.click:6969 (2a01:7a7:2:3ed6:225:90ff:fefb:3dfc) 300ms
[2026-03-06T06:04:14.686631][DEBUG] ✓ UDP://6ahddutb1ucc3cp.ru:6969 (185.189.13.108) 431ms
[2026-03-06T06:04:29.322877][DEBUG] ✓ UDP://tracker.bluefrog.pw:2710 (88.80.22.67) 221ms
[2026-03-06T06:04:59.101993][DEBUG] ✓ UDP://bt.rer.lol:6969 (2408:8248:412:cf90::1) 0ms
[2026-03-06T06:04:59.122132][DEBUG] ✓ UDP://tracker.iperson.xyz:6969 (120.78.150.131) 20ms
[2026-03-06T06:04:59.124892][INFO] 轮检完成 | 总:143 [v4:113 v6:30] | 在线:143 [v4:113 v6:30]
[2026-03-06T06:05:30.659171][DEBUG] ✓ TCP://ipv6.rer.lol:6969 (2408:8248:481:5b:5d95:b88b:f1ea:c8e7) 0ms
[2026-03-06T06:05:30.695579][DEBUG] ✓ UDP://admin.52ywp.com:6969 (60.172.236.18) 33ms
[2026-03-06T06:05:30.811910][DEBUG] ✓ TCP://207.241.226.111:6969 (207.241.226.111) 153ms
[2026-03-06T06:05:30.822259][DEBUG] ✓ TCP://tracker.renfei.net:8080 (2606:4700:3032::6815:3ab0) 162ms
[2026-03-06T06:05:30.826802][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.92.198) 161ms
[2026-03-06T06:05:30.828668][DEBUG] ✓ TCP://tracker.renfei.net:8080 (2606:4700:3037::ac43:a266) 169ms
[2026-03-06T06:05:30.829078][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.24) 171ms
[2026-03-06T06:05:30.831874][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.32) 175ms
[2026-03-06T06:05:30.832276][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.30) 175ms
[2026-03-06T06:05:30.832627][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.29) 174ms
[2026-03-06T06:05:30.832687][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.28) 176ms
[2026-03-06T06:05:30.833450][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.94.79) 168ms
[2026-03-06T06:05:30.833761][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.185.23) 165ms
[2026-03-06T06:05:30.833823][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.229.39) 163ms
[2026-03-06T06:05:30.834251][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.95.29) 164ms
[2026-03-06T06:05:30.834347][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.186.137) 167ms
[2026-03-06T06:05:30.834408][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.184.212) 165ms
[2026-03-06T06:05:30.834468][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.23) 176ms
[2026-03-06T06:05:30.835197][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.26) 177ms
[2026-03-06T06:05:30.835963][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.228.40) 166ms
[2026-03-06T06:05:30.836012][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.94.165) 170ms
[2026-03-06T06:05:30.836729][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (104.18.19.205) 170ms
[2026-03-06T06:05:30.837250][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.91.155) 171ms
[2026-03-06T06:05:30.837293][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.27) 178ms
[2026-03-06T06:05:30.837330][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (104.16.160.193) 165ms
[2026-03-06T06:05:30.837363][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.185.22) 169ms
[2026-03-06T06:05:30.838185][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.184.240) 169ms
[2026-03-06T06:05:30.838266][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.95.106) 168ms
[2026-03-06T06:05:30.836813][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.228.79) 166ms
[2026-03-06T06:05:30.838637][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.185.25) 170ms
[2026-03-06T06:05:30.836902][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.25) 177ms
[2026-03-06T06:05:30.838742][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.93.241) 171ms
[2026-03-06T06:05:30.838800][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.185.161) 170ms
[2026-03-06T06:05:30.838842][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (104.17.12.136) 167ms
[2026-03-06T06:05:30.840344][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.92.83) 172ms
[2026-03-06T06:05:30.840412][DEBUG] ✓ TCP://tracker.renfei.net:8080 (104.21.58.176) 178ms
[2026-03-06T06:05:30.840515][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.22) 181ms
[2026-03-06T06:05:30.840931][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (104.25.73.167) 174ms
[2026-03-06T06:05:30.841275][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.229.177) 168ms
[2026-03-06T06:05:30.841577][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.31) 180ms
[2026-03-06T06:05:30.838693][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.94.224) 167ms
[2026-03-06T06:05:30.843045][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.185.38) 171ms
[2026-03-06T06:05:30.843128][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.94.121) 175ms
[2026-03-06T06:05:30.843218][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.230.4) 171ms
[2026-03-06T06:05:30.843286][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.229.53) 171ms
[2026-03-06T06:05:30.843341][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.94.171) 175ms
[2026-03-06T06:05:30.843393][DEBUG] ✓ TCP://tracker.renfei.net:8080 (172.67.162.102) 178ms
[2026-03-06T06:05:30.843942][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (2606:4700:3035::ac43:8d1a) 175ms
[2026-03-06T06:05:30.843999][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.228.72) 171ms
[2026-03-06T06:05:30.844294][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.229.85) 172ms
[2026-03-06T06:05:30.844343][DEBUG] ✓ UDP://tracker.fnix.net:6969 (2a04:52c0:129:4157::a80) 182ms
[2026-03-06T06:05:30.845424][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.93.55) 178ms
[2026-03-06T06:05:30.845472][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.93.3) 177ms
[2026-03-06T06:05:30.845510][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.92.52) 179ms
[2026-03-06T06:05:30.845545][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.186.230) 176ms
[2026-03-06T06:05:30.843170][DEBUG] ✓ TCP://tracker.ghostchu-services.top:80 (172.67.181.132) 167ms
[2026-03-06T06:05:30.846405][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.229.166) 170ms
[2026-03-06T06:05:30.846721][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.184.243) 175ms
[2026-03-06T06:05:30.847501][DEBUG] ✓ TCP://ipv4.rer.lol:2710 (211.97.119.76) 0ms
[2026-03-06T06:05:30.848050][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (2606:4700:3034::6815:36ba) 181ms
[2026-03-06T06:05:30.848099][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.91.151) 178ms
[2026-03-06T06:05:30.848627][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.92.35) 180ms
[2026-03-06T06:05:30.849990][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.186.72) 179ms
[2026-03-06T06:05:30.850290][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.229.30) 177ms
[2026-03-06T06:05:30.850342][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.184.195) 179ms
[2026-03-06T06:05:30.850624][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.186.91) 180ms
[2026-03-06T06:05:30.850666][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.94.237) 178ms
[2026-03-06T06:05:30.850709][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.185.104) 179ms
[2026-03-06T06:05:30.850743][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.187.177) 177ms
[2026-03-06T06:05:30.851034][DEBUG] ✓ TCP://tracker.ghostchu-services.top:80 (2606:4700:3034::ac43:b584) 176ms
[2026-03-06T06:05:30.851078][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.186.29) 182ms
[2026-03-06T06:05:30.851842][DEBUG] ✓ UDP://tracker.opentrackr.org:1337 (93.158.213.92) 171ms
[2026-03-06T06:05:30.854379][DEBUG] ✓ TCP://tracker.ghostchu-services.top:80 (104.21.18.88) 180ms
[2026-03-06T06:05:30.854440][DEBUG] ✓ UDP://speedtest.iperson.xyz:6969 (240e:355:7f1f:d900:e2e1:a9ff:fe1a:1f93) 40ms
[2026-03-06T06:05:30.856206][DEBUG] ✓ TCP://tracker.ghostchu-services.top:80 (2606:4700:3034::6815:1258) 184ms
[2026-03-06T06:05:30.857560][DEBUG] ✓ UDP://tracker.torrent.eu.org:451 (91.216.110.53) 198ms
[2026-03-06T06:05:30.857904][DEBUG] ✓ UDP://tracker.torrent.eu.org:451 (89.234.156.205) 198ms
[2026-03-06T06:05:30.858561][DEBUG] ✓ UDP://tracker.fnix.net:6969 (5.255.124.190) 201ms
[2026-03-06T06:05:30.861209][DEBUG] ✓ UDP://tracker.gmi.gd:6969 (209.141.59.25) 195ms
[2026-03-06T06:05:30.862880][DEBUG] ✓ UDP://d40969.acod.regrucolo.ru:6969 (176.99.7.59) 200ms
[2026-03-06T06:05:30.864436][DEBUG] ✓ UDP://176.123.1.180:6969 (176.123.1.180) 200ms
[2026-03-06T06:05:30.866019][DEBUG] ✓ UDP://www.torrent.eu.org:451 (91.216.110.53) 208ms
[2026-03-06T06:05:30.871944][DEBUG] ✓ UDP://uabits.today:6990 (163.5.63.253) 188ms
[2026-03-06T06:05:30.874537][DEBUG] ✓ TCP://lucke.fenesisu.moe:6969 (207.211.184.229) 211ms
[2026-03-06T06:05:30.875543][DEBUG] ✓ UDP://torrentvpn.club:6990 (31.57.241.202) 192ms
[2026-03-06T06:05:30.876733][DEBUG] ✓ UDP://tracker.1h.is:1337 (107.189.4.235) 205ms
[2026-03-06T06:05:30.879993][DEBUG] ✓ UDP://bittorrent-tracker.e-n-c-r-y-p-t.net:1337 (107.189.2.131) 196ms
[2026-03-06T06:05:30.889058][DEBUG] ✓ UDP://tracker.t-1.org:6969 (107.189.7.165) 221ms
[2026-03-06T06:05:30.890380][DEBUG] ✓ UDP://tracker.playground.ru:6969 (212.42.38.197) 221ms
[2026-03-06T06:05:30.904018][DEBUG] ✓ UDP://tracker.gmi.gd:6969 (2605:6400:20:6c::) 235ms
[2026-03-06T06:05:30.905295][DEBUG] ✓ UDP://udp.tracker.projectk.org:23333 (23.175.184.30) 223ms
[2026-03-06T06:05:30.921892][DEBUG] ✓ UDP://51.81.222.188:6969 (51.81.222.188) 258ms
[2026-03-06T06:05:30.924899][DEBUG] ✓ UDP://ns575949.ip-51-222-82.net:6969 (51.222.82.36) 252ms
[2026-03-06T06:05:30.925622][DEBUG] ✓ TCP://tracker.mywaifu.best:6969 (95.217.167.10) 267ms
[2026-03-06T06:05:30.925938][DEBUG] ✓ UDP://tracker.riverarmy.xyz:6969 (18.232.197.8) 243ms
[2026-03-06T06:05:30.926831][DEBUG] ✓ TCP://sukebei.tracker.wf:8888 (195.16.73.66) 271ms
[2026-03-06T06:05:30.932853][DEBUG] ✓ UDP://tracker.1h.is:1337 (2605:6400:30:f922:35d4:58f4:75eb:1337) 262ms
[2026-03-06T06:05:30.933327][DEBUG] ✓ UDP://2001:41d0:2:52b1::1:6969 (2001:41d0:2:52b1::1) 264ms
[2026-03-06T06:05:30.933996][DEBUG] ✓ UDP://tracker.bluefrog.pw:2710 (2a00:16b0:242:25::14) 261ms
[2026-03-06T06:05:30.943349][DEBUG] ✓ UDP://www.torrent.eu.org:451 (2001:912:800:208::53) 281ms
[2026-03-06T06:05:30.945589][DEBUG] ✓ UDP://tracker.torrent.eu.org:451 (2a03:7220:8083:cd00::1) 287ms
[2026-03-06T06:05:30.957831][DEBUG] ✓ TCP://tracker.dhitechnical.com:6969 (140.235.237.23) 287ms
[2026-03-06T06:05:30.960821][DEBUG] ✓ UDP://tracker.breizh.pm:6969 (82.67.183.86) 283ms
[2026-03-06T06:05:30.961677][DEBUG] ✓ UDP://tracker.t-1.org:6969 (2605:6400:30:f8f3:1f:b20a:a8c1:1337) 294ms
[2026-03-06T06:05:30.963232][DEBUG] ✓ UDP://retracker.lanta.me:2710 (37.235.176.37) 298ms
[2026-03-06T06:05:30.972600][DEBUG] ✓ TCP://ttk2.nbaonlineservice.com:80 (54.39.48.3) 311ms
[2026-03-06T06:05:30.974187][DEBUG] ✓ UDP://tracker.opentorrent.top:6969 (81.230.84.201) 296ms
[2026-03-06T06:05:30.979397][DEBUG] ✓ UDP://tracker.bittor.pw:1337 (34.66.57.33) 309ms
[2026-03-06T06:05:30.998121][DEBUG] ✓ TCP://tracker.moeblog.cn:443 (172.66.132.230) 157ms
[2026-03-06T06:05:31.003410][DEBUG] ✓ TCP://tracker.iochimari.moe:443 (104.21.53.179) 160ms
[2026-03-06T06:05:31.004329][DEBUG] ✓ UDP://bandito.byterunner.io:6969 (103.251.166.126) 173ms
[2026-03-06T06:05:31.006379][DEBUG] ✓ TCP://tracker.moeblog.cn:443 (172.66.140.230) 167ms
[2026-03-06T06:05:31.010947][DEBUG] ✓ TCP://tracker.moeblog.cn:443 (2606:4700:3036::6815:3985) 167ms
[2026-03-06T06:05:31.011291][DEBUG] ✓ TCP://tracker.moeblog.cn:443 (172.67.187.230) 169ms
[2026-03-06T06:05:31.015538][DEBUG] ✓ TCP://tracker.iochimari.moe:443 (172.67.216.25) 176ms
[2026-03-06T06:05:31.019358][DEBUG] ✓ TCP://tracker.moeblog.cn:443 (2606:4700:3035::ac43:a410) 173ms
[2026-03-06T06:05:31.019726][DEBUG] ✓ TCP://tracker.iochimari.moe:443 (2606:4700:3035::6815:35b3) 178ms
[2026-03-06T06:05:31.019790][DEBUG] ✓ TCP://tracker.moeblog.cn:443 (104.21.56.230) 178ms
[2026-03-06T06:05:31.019836][DEBUG] ✓ TCP://tracker.iochimari.moe:443 (2606:4700:3034::ac43:d819) 178ms
[2026-03-06T06:05:31.068716][DEBUG] ✓ UDP://tracker.plx.im:6969 (54.36.179.216) 244ms
[2026-03-06T06:05:31.102306][DEBUG] ✓ UDP://tracker.ixuexi.click:6969 (2a01:7a7:2:3ed6:225:90ff:fefb:3dfc) 271ms
[2026-03-06T06:05:31.104302][DEBUG] ✓ UDP://tracker.srv00.com:6969 (91.186.213.204) 264ms
[2026-03-06T06:05:31.107071][DEBUG] ✓ TCP://2c0f:f4c0::108:80 (2c0f:f4c0::108) 445ms
[2026-03-06T06:05:31.108764][DEBUG] ✓ UDP://tracker.srv00.com:6969 (147.45.77.75) 270ms
[2026-03-06T06:05:31.194876][DEBUG] ✓ UDP://6ahddutb1ucc3cp.ru:6969 (185.189.13.108) 361ms
[2026-03-06T06:05:40.695166][DEBUG] ✓ UDP://bt.rer.lol:6969 (2408:8248:412:cf90::1) 1ms
[2026-03-06T06:05:40.714010][DEBUG] ✓ UDP://tracker.iperson.xyz:6969 (120.78.150.131) 22ms
[2026-03-06T06:05:40.879585][DEBUG] ✓ UDP://open.dstud.io:6969 (212.8.249.30) 185ms
[2026-03-06T06:05:40.928599][DEBUG] ✓ UDP://udp.tracker.projectk.org:23333 (2602:f93b:131:a:be24:11ff:fe79:fff7) 234ms
[2026-03-06T06:05:40.936255][DEBUG] ✓ UDP://2a03:94e0:ffff:185:243:218:0:213:80 (2a03:94e0:ffff:185:243:218:0:213) 258ms
[2026-03-06T06:05:40.950108][DEBUG] ✓ UDP://tracker.qu.ax:6969 (2406:4fc0:1002::137) 256ms
[2026-03-06T06:05:40.996769][DEBUG] ✓ UDP://tracker.waaa.moe:6969 (216.144.239.90) 318ms
[2026-03-06T06:05:45.705925][ERROR] ✗ UDP://tracker.breizh.pm:6969 (2a01:e0a:ebd:2640:ba27:ebff:fe2c:db88) 离线 | 超时(>5s)
[2026-03-06T06:05:50.977644][DEBUG] ✓ UDP://tracker.qu.ax:6969 (43.250.54.137) 285ms
[2026-03-06T06:05:51.161172][DEBUG] ✓ UDP://open.demonii.com:1337 (2a06:1280:f115::2) 313ms
[2026-03-06T06:05:51.212586][DEBUG] ✓ UDP://t.overflow.biz:6969 (187.56.163.25) 364ms
[2026-03-06T06:06:05.883403][DEBUG] ✓ UDP://tracker.therarbg.to:6969 (84.54.51.78) 191ms
[2026-03-06T06:06:05.939405][DEBUG] ✓ UDP://evan.im:6969 (74.119.150.221) 246ms
[2026-03-06T06:06:05.940619][DEBUG] ✓ UDP://tracker.bittor.pw:1337 (2600:1900:4001:4b5:8000::) 263ms
[2026-03-06T06:06:05.976741][DEBUG] ✓ UDP://bittorrent-tracker.e-n-c-r-y-p-t.net:1337 (2605:6400:30:fad6::dead:c0d3) 268ms
[2026-03-06T06:06:06.058035][DEBUG] ✓ UDP://open.demonii.com:1337 (185.121.168.96) 210ms
[2026-03-06T06:06:06.100171][DEBUG] ✓ UDP://tracker.ixuexi.click:6969 (173.201.36.219) 246ms
[2026-03-06T06:06:06.126660][DEBUG] ✓ UDP://44.30.4.70:6969 (44.30.4.70) 278ms
[2026-03-06T06:06:35.863189][DEBUG] ✓ UDP://tracker.bluefrog.pw:2710 (88.80.22.67) 186ms
[2026-03-06T06:06:35.872531][DEBUG] ✓ UDP://tracker.xn--djrq4gl4hvoi.top:80 (154.201.75.73) 179ms
[2026-03-06T06:06:35.875422][INFO] 轮检完成 | 总:145 [v4:115 v6:30] | 在线:144 [v4:115 v6:29]
[2026-03-06T06:07:05.901900][DEBUG] ✓ TCP://ipv6.rer.lol:6969 (2408:8248:481:5b:5d95:b88b:f1ea:c8e7) 0ms
[2026-03-06T06:07:05.940587][DEBUG] ✓ UDP://admin.52ywp.com:6969 (60.172.236.18) 34ms
[2026-03-06T06:07:05.946469][DEBUG] ✓ UDP://tracker.iperson.xyz:6969 (120.78.150.131) 25ms
[2026-03-06T06:07:06.062477][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.29) 161ms
[2026-03-06T06:07:06.063020][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.30) 162ms
[2026-03-06T06:07:06.065431][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.32) 166ms
[2026-03-06T06:07:06.065759][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.25) 164ms
[2026-03-06T06:07:06.066185][DEBUG] ✓ UDP://tracker.fnix.net:6969 (5.255.124.190) 166ms
[2026-03-06T06:07:06.068581][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (104.18.19.205) 162ms
[2026-03-06T06:07:06.070158][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.229.177) 158ms
[2026-03-06T06:07:06.071380][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (104.25.73.167) 164ms
[2026-03-06T06:07:06.071995][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.94.224) 160ms
[2026-03-06T06:07:06.072423][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.92.198) 164ms
[2026-03-06T06:07:06.072829][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.22) 173ms
[2026-03-06T06:07:06.072908][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.94.79) 165ms
